N,ns per cell total,react,vel_step,dens_step
2, 176.926981, 10.632354, 137.907155, 28.387473
2, 176.738196, 10.624344, 137.726700, 28.387153
2, 192.311615, 10.795655, 139.291330, 42.224630
2, 193.699483, 10.739004, 138.107591, 44.852887
2, 192.169110, 10.654578, 136.993158, 44.521374
2, 192.481960, 10.689255, 137.195316, 44.597390
2, 193.055575, 10.705370, 137.616365, 44.733840
2, 192.607687, 10.675456, 137.362179, 44.570051
2, 193.135324, 10.694123, 137.752411, 44.688790
4, 145.209689, 4.323262, 123.667148, 17.219279
4, 144.882559, 4.310674, 123.379236, 17.192649
4, 144.949107, 4.311145, 123.448332, 17.189630
4, 145.043541, 4.315994, 123.539071, 17.188475
4, 145.332830, 4.321725, 123.774733, 17.236372
4, 144.561185, 4.297308, 123.120084, 17.143793
4, 144.605413, 4.299891, 123.135355, 17.170168
4, 144.550169, 4.301359, 123.084775, 17.164034
4, 145.003858, 4.307040, 123.511712, 17.185106
8, 227.265028, 2.494966, 209.021680, 15.748383
8, 226.856792, 2.489284, 208.650938, 15.716570
8, 226.687298, 2.486157, 208.495605, 15.705536
8, 226.927829, 2.485530, 208.711332, 15.730967
8, 232.724547, 2.547025, 214.046352, 16.131170
8, 227.261762, 2.492904, 209.012386, 15.756472
8, 226.690669, 2.483769, 208.484946, 15.721954
8, 226.802455, 2.484408, 208.586877, 15.731170
8, 226.768161, 2.484379, 208.563152, 15.720630
16, 323.577353, 1.847680, 304.569510, 17.160164
16, 324.085733, 1.855189, 305.040000, 17.190544
16, 323.053412, 1.849149, 304.054420, 17.149844
16, 322.564807, 1.847607, 303.595141, 17.122060
16, 322.980591, 1.848102, 303.995856, 17.136633
16, 323.366995, 1.849625, 304.351696, 17.165674
16, 323.989854, 1.853763, 304.927139, 17.208952
16, 322.950945, 1.849503, 303.956549, 17.144893
16, 322.681144, 1.847636, 303.696170, 17.137338
32, 375.975414, 1.586586, 354.977513, 19.411315
32, 375.073376, 1.582197, 354.137994, 19.353185
32, 376.172560, 1.586397, 355.155226, 19.430937
32, 375.272662, 1.582463, 354.323243, 19.366955
32, 375.403090, 1.584290, 354.430192, 19.388608
32, 381.401080, 1.621152, 360.071636, 19.708293
32, 377.917881, 1.595231, 356.800534, 19.522116
32, 375.128042, 1.581574, 354.176837, 19.369631
32, 375.178435, 1.581880, 354.222697, 19.373859
64, 407.093991, 1.501600, 384.447852, 21.144538
64, 407.123320, 1.502345, 385.040130, 20.580845
64, 406.279557, 1.501864, 384.220263, 20.557429
64, 407.994008, 1.509588, 385.841713, 20.642708
64, 408.001300, 1.507750, 385.877093, 20.616458
64, 406.893035, 1.505934, 384.798277, 20.588824
64, 406.583643, 1.501148, 384.504547, 20.577949
64, 407.694732, 1.501672, 385.650978, 20.542082
64, 407.679367, 1.502756, 385.598262, 20.578349
128, 415.173332, 1.457594, 391.866076, 21.849662
128, 416.098804, 1.455511, 392.603280, 22.040012
128, 417.119649, 1.453408, 393.861502, 21.804740
128, 416.135068, 1.449446, 393.528548, 21.157074
128, 419.068530, 1.455359, 396.373111, 21.240060
128, 417.588760, 1.457197, 394.906594, 21.224969
128, 417.067608, 1.456417, 394.416984, 21.194207
128, 429.891343, 1.556535, 406.453909, 21.880899
128, 417.097764, 1.449942, 394.519997, 21.127824
256, 418.778455, 1.576081, 394.845343, 22.357031
256, 419.412191, 1.457359, 395.214774, 22.740058
256, 419.580328, 1.448959, 395.329627, 22.801742
256, 421.217642, 1.452098, 396.816488, 22.949057
256, 420.762340, 1.443837, 396.522770, 22.795733
256, 420.134569, 1.434727, 396.003014, 22.696829
256, 421.516887, 1.437753, 397.212730, 22.866404
256, 421.352386, 1.441172, 397.182338, 22.728876
256, 421.509966, 1.433592, 397.275815, 22.800559
